pixel	lat	lon
839	74.000000	140.000000
840	74.000000	143.636364
841	74.000000	147.272727
842	74.000000	150.909091
843	74.000000	154.545455
844	74.000000	158.181818
845	74.000000	161.818182
846	74.000000	165.454545
847	74.000000	169.090909
848	74.000000	172.727273
849	74.000000	176.363636
850	73.000000	-178.285714
851	73.000000	-174.857143
852	73.000000	-171.428571
853	73.000000	-168.000000
854	73.000000	-164.571429
855	73.000000	-161.142857
856	73.000000	-157.714286
857	73.000000	-154.285714
858	73.000000	-150.857143
859	73.000000	-147.428571
860	73.000000	-144.000000
861	73.000000	-140.571429
862	73.000000	-137.142857
863	73.000000	-133.714286
864	73.000000	-130.285714
865	73.000000	-126.857143
866	73.000000	-123.428571
867	73.000000	-120.000000
868	73.000000	-116.571429
869	73.000000	-113.142857
870	73.000000	-109.714286
871	73.000000	-106.285714
872	73.000000	-102.857143
873	73.000000	-99.428571
874	73.000000	-96.000000
875	73.000000	-92.571429
876	73.000000	-89.142857
877	73.000000	-85.714286
878	73.000000	-82.285714
879	73.000000	-78.857143
880	73.000000	-75.428571
881	73.000000	-72.000000
882	73.000000	-68.571429
883	73.000000	-65.142857
884	73.000000	-61.714286
885	73.000000	-58.285714
886	73.000000	-54.857143
887	73.000000	-51.428571
888	73.000000	-48.000000
889	73.000000	-44.571429
890	73.000000	-41.142857
891	73.000000	-37.714286
892	73.000000	-34.285714
893	73.000000	-30.857143
894	73.000000	-27.428571
895	73.000000	-24.000000
896	73.000000	-20.571429
897	73.000000	-17.142857
898	73.000000	-13.714286
899	73.000000	-10.285714
900	73.000000	-6.857143
901	73.000000	-3.428571
902	73.000000	-0.000000
903	73.000000	3.428571
904	73.000000	6.857143
905	73.000000	10.285714
906	73.000000	13.714286
907	73.000000	17.142857
908	73.000000	20.571429
909	73.000000	24.000000
910	73.000000	27.428571
911	73.000000	30.857143
912	73.000000	34.285714
913	73.000000	37.714286
914	73.000000	41.142857
915	73.000000	44.571429
916	73.000000	48.000000
917	73.000000	51.428571
918	73.000000	54.857143
919	73.000000	58.285714
920	73.000000	61.714286
921	73.000000	65.142857
922	73.000000	68.571429
923	73.000000	72.000000
924	73.000000	75.428571
925	73.000000	78.857143
926	73.000000	82.285714
927	73.000000	85.714286
928	73.000000	89.142857
929	73.000000	92.571429
930	73.000000	96.000000
931	73.000000	99.428571
932	73.000000	102.857143
933	73.000000	106.285714
934	73.000000	109.714286
935	73.000000	113.142857
936	73.000000	116.571429
937	73.000000	120.000000
938	73.000000	123.428571
939	73.000000	126.857143
940	73.000000	130.285714
941	73.000000	133.714286
942	73.000000	137.142857
943	73.000000	140.571429
944	73.000000	144.000000
945	73.000000	147.428571
946	73.000000	150.857143
947	73.000000	154.285714
948	73.000000	157.714286
949	73.000000	161.142857
950	73.000000	164.571429
951	73.000000	168.000000
952	73.000000	171.428571
953	73.000000	174.857143
954	73.000000	178.285714
955	72.000000	-180.000000
956	72.000000	-176.756757
957	72.000000	-173.513514
958	72.000000	-170.270270
959	72.000000	-167.027027
960	72.000000	-163.783784
961	72.000000	-160.540541
962	72.000000	-157.297297
963	72.000000	-154.054054
964	72.000000	-150.810811
965	72.000000	-147.567568
966	72.000000	-144.324324
967	72.000000	-141.081081
968	72.000000	-137.837838
969	72.000000	-134.594595
970	72.000000	-131.351351
971	72.000000	-128.108108
972	72.000000	-124.864865
973	72.000000	-121.621622
974	72.000000	-118.378378
975	72.000000	-115.135135
976	72.000000	-111.891892
977	72.000000	-108.648649
978	72.000000	-105.405405
979	72.000000	-102.162162
980	72.000000	-98.918919
981	72.000000	-95.675676
982	72.000000	-92.432432
983	72.000000	-89.189189
984	72.000000	-85.945946
985	72.000000	-82.702703
986	72.000000	-79.459459
987	72.000000	-76.216216
988	72.000000	-72.972973
989	72.000000	-69.729730
990	72.000000	-66.486486
991	72.000000	-63.243243
992	72.000000	-60.000000
993	72.000000	-56.756757
994	72.000000	-53.513514
995	72.000000	-50.270270
996	72.000000	-47.027027
997	72.000000	-43.783784
998	72.000000	-40.540541
999	72.000000	-37.297297
1000	72.000000	-34.054054
1001	72.000000	-30.810811
1002	72.000000	-27.567568
1003	72.000000	-24.324324
1004	72.000000	-21.081081
1005	72.000000	-17.837838
1006	72.000000	-14.594595
1007	72.000000	-11.351351
1008	72.000000	-8.108108
1009	72.000000	-4.864865
1010	72.000000	-1.621622
1011	72.000000	1.621622
1012	72.000000	4.864865
1013	72.000000	8.108108
1014	72.000000	11.351351
1015	72.000000	14.594595
1016	72.000000	17.837838
1017	72.000000	21.081081
1018	72.000000	24.324324
1019	72.000000	27.567568
1020	72.000000	30.810811
1021	72.000000	34.054054
1022	72.000000	37.297297
1023	72.000000	40.540541
1024	72.000000	43.783784
1025	72.000000	47.027027
1026	72.000000	50.270270
1027	72.000000	53.513514
1028	72.000000	56.756757
1029	72.000000	60.000000
1030	72.000000	63.243243
1031	72.000000	66.486486
1032	72.000000	69.729730
1033	72.000000	72.972973
1034	72.000000	76.216216
1035	72.000000	79.459459
1036	72.000000	82.702703
1037	72.000000	85.945946
1038	72.000000	89.189189
1039	72.000000	92.432432
1040	72.000000	95.675676
1041	72.000000	98.918919
1042	72.000000	102.162162
1043	72.000000	105.405405
1044	72.000000	108.648649
1045	72.000000	111.891892
1046	72.000000	115.135135
1047	72.000000	118.378378
1048	72.000000	121.621622
1049	72.000000	124.864865
1050	72.000000	128.108108
1051	72.000000	131.351351
1052	72.000000	134.594595
1053	72.000000	137.837838
1054	72.000000	141.081081
1055	72.000000	144.324324
1056	72.000000	147.567568
1057	72.000000	150.810811
1058	72.000000	154.054054
1059	72.000000	157.297297
1060	72.000000	160.540541
1061	72.000000	163.783784
1062	72.000000	167.027027
1063	72.000000	170.270270
1064	72.000000	173.513514
1065	72.000000	176.756757
1066	71.000000	-178.461538
1067	71.000000	-175.384615
1068	71.000000	-172.307692
1069	71.000000	-169.230769
1070	71.000000	-166.153846
1071	71.000000	-163.076923
1072	71.000000	-160.000000
1073	71.000000	-156.923077
1074	71.000000	-153.846154
1075	71.000000	-150.769231
1076	71.000000	-147.692308
1077	71.000000	-144.615385
1078	71.000000	-141.538462
1079	71.000000	-138.461538
1080	71.000000	-135.384615
1081	71.000000	-132.307692
1082	71.000000	-129.230769
1083	71.000000	-126.153846
1084	71.000000	-123.076923
1085	71.000000	-120.000000
1086	71.000000	-116.923077
1087	71.000000	-113.846154
1088	71.000000	-110.769231
1089	71.000000	-107.692308
1090	71.000000	-104.615385
1091	71.000000	-101.538462
1092	71.000000	-98.461538
1093	71.000000	-95.384615
1094	71.000000	-92.307692
1095	71.000000	-89.230769
1096	71.000000	-86.153846
1097	71.000000	-83.076923
1098	71.000000	-80.000000
1099	71.000000	-76.923077
